学校,URL,答卷总数,问题简称,问题,答卷编号,回答
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,上床下桌,宿舍是上床下桌吗,A1,不，只有个别有，而且大部分都是男的住
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,上床下桌,宿舍是上床下桌吗,A2,是
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,上床下桌,宿舍是上床下桌吗,A3,南校区 是
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,上床下桌,宿舍是上床下桌吗,A4,不是
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,上床下桌,宿舍是上床下桌吗,A5,部分是
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,空调,教室和宿舍有没有空调,A1,教室无，宿舍有，一到夏天热死
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,空调,教室和宿舍有没有空调,A2,教室好像都没有，宿舍应该都是有的
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,空调,教室和宿舍有没有空调,A3,有 宿舍是立柜式
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,空调,教室和宿舍有没有空调,A4,宿舍有，教室大部分没有
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,空调,教室和宿舍有没有空调,A5,宿舍全部安装，教室部分安装
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A1,无，还是只有个别有，不远
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A2,大部分宿舍楼都有独立浴室
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A3,南校区没有 每层都有厕所和澡堂 分布在走廊尽头 如果宿舍在走廊另一头需要步行20s-30s左右
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A4,有
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,独立卫浴,有独立卫浴吗？没有独立浴室的话，澡堂离宿舍多远,A5,部分宿舍
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,早晚自习,有早自习、晚自习吗,A1,有的专业大一有
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,早晚自习,有早自习、晚自习吗,A2,只有大一要求上早晚自习，大二好像就只有英语专业要求要上早自习吧不太清楚
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,早晚自习,有早自习、晚自习吗,A3,大一有 后面无
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,早晚自习,有早自习、晚自习吗,A4,有
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,早晚自习,有早自习、晚自习吗,A5,无早自习，大一有晚自习
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,晨跑,有晨跑吗,A1,无
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,晨跑,有晨跑吗,A2,没有，但是每个学期有一定的运动要求
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,晨跑,有晨跑吗,A3,没有
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A1,无，不可，学校挺小，坡很多
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A2,好像是七次两公里，学校应该不给骑车（除了保安大叔）
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A3,无 南校区很小不需要骑车
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A4,无
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,跑步打卡,每学期跑步打卡的要求是多少公里，可以骑车吗,A5,无，不可骑车
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,寒暑假,寒暑假放多久，每年小学期有多长,A1,一个多月&两个月，无
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,寒暑假,寒暑假放多久，每年小学期有多长,A2,寒假好像都是一个月多一丢丢，暑假差不多两个月，每个学期基本上四个月半左右
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,寒暑假,寒暑假放多久，每年小学期有多长,A3,1-2个月 学期基本3-4个月
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,寒暑假,寒暑假放多久，每年小学期有多长,A4,暑假70天左右，寒假30天
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,寒暑假,寒暑假放多久，每年小学期有多长,A5,参考历年数据
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,外卖,学校允许点外卖吗，取外卖的地方离宿舍楼多远,A1,可，不远
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,外卖,学校允许点外卖吗，取外卖的地方离宿舍楼多远,A2,可以点外卖，大概五六分钟路程离食堂挺近
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,外卖,学校允许点外卖吗，取外卖的地方离宿舍楼多远,A3,允许 南校区外卖柜设在2号宿舍楼下面
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,外卖,学校允许点外卖吗，取外卖的地方离宿舍楼多远,A4,允许
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,外卖,学校允许点外卖吗，取外卖的地方离宿舍楼多远,A5,允许，距离很近
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A1,便利，有，算在吧
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A2,学校附近有地铁站和公交站，虽然不在市中心但是在市区，到市中心地铁半小时左右
三江学院,https://cn.colleges.chat/universities/san-jiang-xue-yuan/,5,交通,学校交通便利吗，有地铁吗，在市区吗，不在的话进城要多久,A3,位于一个去哪都一样远的地区 有地铁 城乡结合部 打车去新街口基本20-30分钟
